TABLE:  "Element Forces - Beams"
Story,Beam,UniqueName,Output Case,Case Type,Station,P,V2,V3,T,M2,M3
,,,,,m,tonf,tonf,tonf,tonf-m,tonf-m,tonf-m
Azotea,B1,101,1.3CM+1.5CV,Combination,0.0000,0,11.2841,0,0,0,-9.2050
Azotea,B1,101,1.3CM+1.5CV,Combination,0.8750,0,8.2509,0,0,0,-0.6584
Azotea,B1,101,1.3CM+1.5CV,Combination,1.7500,0,5.2178,0,0,0,5.2341
Azotea,B1,101,1.3CM+1.5CV,Combination,2.6250,0,2.1846,0,0,0,8.4727
Azotea,B1,101,1.3CM+1.5CV,Combination,3.5000,0,-0.8485,0,0,0,9.0572
Azotea,B1,101,1.3CM+1.5CV,Combination,4.3750,0,-3.8817,0,0,0,6.9878
Azotea,B1,101,1.3CM+1.5CV,Combination,5.2500,0,-6.9148,0,0,0,2.2643
Azotea,B1,101,1.3CM+1.5CV,Combination,6.1250,0,-9.9480,0,0,0,-5.1132
Azotea,B1,101,1.3CM+1.5CV,Combination,7.0000,0,-12.9811,0,0,0,-15.1446
Azotea,B2,102,1.3CM+1.5CV,Combination,0.0000,0,12.1326,0,0,0,-15.1446
Azotea,B2,102,1.3CM+1.5CV,Combination,0.8750,0,9.0994,0,0,0,-5.8556
Azotea,B2,102,1.3CM+1.5CV,Combination,1.7500,0,6.0663,0,0,0,0.7794
Azotea,B2,102,1.3CM+1.5CV,Combination,2.6250,0,3.0331,0,0,0,4.7604
Azotea,B2,102,1.3CM+1.5CV,Combination,3.5000,0,-0.0000,0,0,0,6.0874
Azotea,B2,102,1.3CM+1.5CV,Combination,4.3750,0,-3.0331,0,0,0,4.7604
Azotea,B2,102,1.3CM+1.5CV,Combination,5.2500,0,-6.0663,0,0,0,0.7794
Azotea,B2,102,1.3CM+1.5CV,Combination,6.1250,0,-9.0994,0,0,0,-5.8556
Azotea,B2,102,1.3CM+1.5CV,Combination,7.0000,0,-12.1326,0,0,0,-15.1446
Azotea,B3,103,1.3CM+1.5CV,Combination,0.0000,0,12.9811,0,0,0,-15.1446
Azotea,B3,103,1.3CM+1.5CV,Combination,0.8750,0,9.9480,0,0,0,-5.1132
Azotea,B3,103,1.3CM+1.5CV,Combination,1.7500,0,6.9148,0,0,0,2.2643
Azotea,B3,103,1.3CM+1.5CV,Combination,2.6250,0,3.8817,0,0,0,6.9878
Azotea,B3,103,1.3CM+1.5CV,Combination,3.5000,0,0.8485,0,0,0,9.0572
Azotea,B3,103,1.3CM+1.5CV,Combination,4.3750,0,-2.1846,0,0,0,8.4727
Azotea,B3,103,1.3CM+1.5CV,Combination,5.2500,0,-5.2178,0,0,0,5.2341
Azotea,B3,103,1.3CM+1.5CV,Combination,6.1250,0,-8.2509,0,0,0,-0.6584
Azotea,B3,103,1.3CM+1.5CV,Combination,7.0000,0,-11.2841,0,0,0,-9.2050
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,0.0000,0,7.2157,0,0,0,-1.6681
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,0.8750,0,4.8537,0,0,0,3.6123
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,1.7500,0,2.4918,0,0,0,6.8259
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,2.6250,0,0.1298,0,0,0,7.9729
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,3.5000,0,-2.2322,0,0,0,7.0531
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,4.3750,0,-4.5942,0,0,0,4.0665
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,5.2500,0,-6.9561,0,0,0,-0.9867
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,6.1250,0,-9.3181,0,0,0,-8.1067
Azotea,B1,101,1.1(CM+CVa+Sx),Combination,7.0000,0,-11.6801,0,0,0,-17.2934
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,0.0000,0,7.8765,0,0,0,-6.2934
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,0.8750,0,5.5145,0,0,0,-0.4349
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,1.7500,0,3.1525,0,0,0,3.3569
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,2.6250,0,0.7905,0,0,0,5.0820
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,3.5000,0,-1.5714,0,0,0,4.7404
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,4.3750,0,-3.9334,0,0,0,2.3320
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,5.2500,0,-6.2954,0,0,0,-2.1431
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,6.1250,0,-8.6574,0,0,0,-8.6849
Azotea,B2,102,1.1(CM+CVa+Sx),Combination,7.0000,0,-11.0193,0,0,0,-17.2934
Azotea,B3,103,1.1(CM+CVa+Sx),Combination,0.0000,0,8.5372,0,0,0,-6.2934
